"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6031","Verify Test Cases page is accessible and visible","chromium","Sat May 10 16:17:34 BDT 2025","passed","Sat May 10 16:17:40 BDT 2025","","testCasePage.spec.ts","",""
"","7046","View products under Women and Men categories","chromium","Sat May 10 16:17:36 BDT 2025","passed","Sat May 10 16:17:43 BDT 2025","","viewCategoryProducts.spec.ts","",""
"","8424","Verify All Products list and first product details","chromium","Sat May 10 16:16:59 BDT 2025","passed","Sat May 10 16:17:08 BDT 2025","Validating All Products and Product Detail page","products.spec.ts","",""
"","20271","Register before checkout and place order successfully","chromium","Sat May 10 16:17:06 BDT 2025","passed","Sat May 10 16:17:27 BDT 2025","","register/registerBeforeCheckout.spec.ts","",""
"","15981","Search products, add to cart, and verify cart persists after login","chromium","Sat May 10 16:17:27 BDT 2025","passed","Sat May 10 16:17:42 BDT 2025","","searchAndCartAfterLogin.spec.ts","",""
"","12209","Verify product search displays correct results","chromium","Sat May 10 16:17:02 BDT 2025","passed","Sat May 10 16:17:14 BDT 2025","Validating All Products and Product Detail page","products.spec.ts","",""
"","5269","Submit contact form successfully","chromium","Sat May 10 16:16:45 BDT 2025","passed","Sat May 10 16:16:50 BDT 2025","","contactUs.spec.ts","",""
"","20629","Add Products in Cart","chromium","Sat May 10 16:16:33 BDT 2025","passed","Sat May 10 16:16:54 BDT 2025","Verify Adding Products to Cart","addToCart.spec.ts","",""
"","4620","Verify Subscription in Cart Page","chromium","Sat May 10 16:17:31 BDT 2025","passed","Sat May 10 16:17:35 BDT 2025","Verify Subscription on Cart Page","subscription.spec.ts","",""
"","5114","Verify Product Quantity in Cart","chromium","Sat May 10 16:16:40 BDT 2025","passed","Sat May 10 16:16:45 BDT 2025","Verify Adding Products to Cart","addToCart.spec.ts","",""
"","13666","Download Invoice after placing order","chromium","Sat May 10 16:16:45 BDT 2025","passed","Sat May 10 16:16:59 BDT 2025","","downloadInvoiceAfterPurchase.spec.ts","",""
"","7494","Verify Subscription on Home Page","chromium","Sat May 10 16:17:27 BDT 2025","passed","Sat May 10 16:17:34 BDT 2025","Verify Subscription on Home Page","subscription.spec.ts","",""
"","5042","Register user with existing email","chromium","Sat May 10 16:17:14 BDT 2025","passed","Sat May 10 16:17:19 BDT 2025","","register/registerWithExistingEmail.spec.ts","",""
"","12316","Validating user register","chromium","Sat May 10 16:17:07 BDT 2025","passed","Sat May 10 16:17:19 BDT 2025","","register/registerUser.spec.ts","",""
"","6744","Add review on product","chromium","Sat May 10 16:16:33 BDT 2025","passed","Sat May 10 16:16:40 BDT 2025","","addReviewOnProduct.spec.ts","",""
"","11895","User should be able to remove product from cart","chromium","Sat May 10 16:17:19 BDT 2025","passed","Sat May 10 16:17:31 BDT 2025","","removeProductsFromCart.spec.ts","",""
"","7515","Logout user after successful login","chromium","Sat May 10 16:16:54 BDT 2025","passed","Sat May 10 16:17:02 BDT 2025","","login_logout/logout.spec.ts","",""
"","12802","Login user with correct email and password","chromium","Sat May 10 16:16:54 BDT 2025","passed","Sat May 10 16:17:07 BDT 2025","","login_logout/loginSuccess.spec.ts","",""
"","6749","View and switch between different brand product pages","chromium","Sat May 10 16:17:35 BDT 2025","passed","Sat May 10 16:17:42 BDT 2025","","viewBrandProducts.spec.ts","",""
"","12271","Add to cart from Recommended Items section","chromium","Sat May 10 16:16:33 BDT 2025","passed","Sat May 10 16:16:45 BDT 2025","","addRecommendedItemToCart.spec.ts","",""
"","16238","Login before checkout and place order successfully","chromium","Sat May 10 16:16:50 BDT 2025","passed","Sat May 10 16:17:06 BDT 2025","","login_logout/loginBeforeCheckout.spec.ts","",""
"","10369","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Sat May 10 16:17:26 BDT 2025","passed","Sat May 10 16:17:36 BDT 2025","","scrollWithoutArrow.spec.ts","",""
"","17969","Register user during checkout and place order successfully","chromium","Sat May 10 16:17:08 BDT 2025","passed","Sat May 10 16:17:26 BDT 2025","","register/registerWhileCheckout.spec.ts","",""
"","7477","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","chromium","Sat May 10 16:17:19 BDT 2025","passed","Sat May 10 16:17:27 BDT 2025","","scrollUpAndDown.spec.ts","",""
"","3824","Login user with incorrect email and password","chromium","Sat May 10 16:16:50 BDT 2025","passed","Sat May 10 16:16:54 BDT 2025","","login_logout/loginFailure.spec.ts","",""
"","16911","Verify address details in checkout page","chromium","Sat May 10 16:16:33 BDT 2025","passed","Sat May 10 16:16:50 BDT 2025","","addressDetailsInCheckoutPage.spec.ts","",""
